experiment_id	timestamp	area	score	quality	latency_ms	reliability	status	description
baseline_1775560366	2026-04-07T11:12:46.320974	baseline	0.693394	0.6963	5277	1.0000	keep	initial baseline
exp_1775560366_0001	2026-04-07T11:12:46.322723	tool_descriptions	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no mutation rules registered for area 'tool_descriptions'
exp_1775560366_0002	2026-04-07T11:12:46.334831	routing_logic	0.710006	0.6962	4679	1.0000	keep	routing: use Haiku for simple queries (faster + cheaper)
exp_1775560419_0003	2026-04-07T11:13:39.794613	memory_retrieval	0.706540	0.6937	4750	1.0000	discard	memory: lower similarity threshold 0.75 -> 0.70 (recall more)
exp_1775590747_0001	2026-04-07T19:39:07.593559	tool_descriptions	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no mutation rules registered for area 'tool_descriptions'
exp_1775590747_0002	2026-04-07T19:39:07.615190	routing_logic	0.601901	0.5900	6276	1.0000	discard	routing: try Ollama first for greetings/chitchat
exp_1775591136_0001	2026-04-07T19:45:36.918208	tool_descriptions	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no mutation rules registered for area 'tool_descriptions'
exp_1775591136_0002	2026-04-07T19:45:36.948292	routing_logic	0.659220	0.6338	5157	1.0000	discard	routing: try Ollama first for greetings/chitchat
exp_1775591600_0001	2026-04-07T19:53:20.165071	tool_descriptions	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no mutation rules registered for area 'tool_descriptions'
exp_1775591600_0002	2026-04-07T19:53:20.194811	routing_logic	0.669370	0.6500	5143	1.0000	discard	routing: try Ollama first for greetings/chitchat
exp_1775591859_0001	2026-04-07T19:57:39.996902	tool_descriptions	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no mutation rules registered for area 'tool_descriptions'
exp_1775591860_0002	2026-04-07T19:57:40.032624	routing_logic	0.783611	0.8500	5350	1.0000	keep	routing: try Ollama first for greetings/chitchat
exp_1775592356_0001	2026-04-07T20:05:56.922119	tool_descriptions	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no mutation rules registered for area 'tool_descriptions'
exp_1775592356_0002	2026-04-07T20:05:56.946242	routing_logic	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no applicable mutations found for area 'routing_logic'
exp_1775592356_0003	2026-04-07T20:05:56.982130	memory_retrieval	0.783624	0.8287	4891	1.0000	discard	memory: lower similarity threshold 0.75 -> 0.70 (recall more)
exp_1775592720_0004	2026-04-07T20:12:00.224025	voice_params	0.855043	0.9437	4803	1.0000	keep	voice: smaller TTS chunks 50 -> 40 (lower latency)
exp_1775593044_0005	2026-04-07T20:17:24.024930	tool_params	0.835178	0.9038	4655	1.0000	discard	tools: more retries 1 -> 2
exp_1775593416_0006	2026-04-07T20:23:36.313998	system_prompt	0.719506	0.7750	6038	1.0000	discard	system_prompt: encourage tool-first behavior
exp_1775593724_0007	2026-04-07T20:28:44.211494	tool_descriptions	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no mutation rules registered for area 'tool_descriptions'
exp_1775593724_0008	2026-04-07T20:28:44.261442	routing_logic	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no applicable mutations found for area 'routing_logic'
exp_1775593724_0009	2026-04-07T20:28:44.303206	memory_retrieval	0.805948	0.8812	5221	1.0000	discard	memory: increase top_k 5 -> 7
exp_1775593996_0010	2026-04-07T20:33:16.953330	voice_params	0.850091	0.9375	4847	1.0000	discard	voice: smaller TTS chunks 40 -> 30 (lower latency)
exp_1775594299_0011	2026-04-07T20:38:19.055882	tool_params	0.762336	0.7913	4847	1.0000	discard	tools: tighten timeout 10s -> 8s (fail fast)
exp_1775594662_0012	2026-04-07T20:44:22.062734	system_prompt	0.767053	0.8313	5541	1.0000	discard	system_prompt: add explicit conciseness instruction
exp_1775595006_0013	2026-04-07T20:50:06.960431	tool_descriptions	0.000000	0.0000	0	0.0000	crash	mutation_proposal_failed: no mutation rules registered for area 'tool_descriptions'
